id,client_info,speech,option1_text,option1_score,option1_type,option1_feedback,option2_text,option2_score,option2_type,option2_feedback,option3_text,option3_score,option3_type,option3_feedback,option4_text,option4_score,option4_type,option4_feedback
13,20代男性・大学生,周囲は内定が出ているのに自分は全落ち。就活を諦めたくなっています。,周囲との差に焦り、就職活動自体に投げやりな気持ちになっているのね。,5,適切,落胆と焦燥感を受け止め、寄り添っています。,もう一度自己分析をやり直してみましょう。,-5,時期尚早な提案,ショックを受けている状態で、最初の手戻り提案は過酷です。,なるほど。まあ就活は縁ですからね。,-5,不適切な相槌,当たり障りのない一般論であり励ましになりません。,私も就活の時はたくさん落ちましたが、最後に行きたい企業が見つかりましたよ。,-5,余計な話,カウンセラー自身の成功談を聞かせる場面ではありません。
14,20代女性・大学4年,企業から内定をもらったが、本当にこの会社でいいのか不安で決められません。,内定を得たものの、将来の選択に迷いと不安があるのですね。,5,適切,決定にあたっての慎重な気持ちに焦点をあてています。,内定承諾の期限はいつまでですか？早く決めないと取り消されますよ。,-5,不適切な相槌,選択を急かして不安をあおる問いかけです。,各企業のメリット・デメリットを書き出して整理しましょう。,-5,時期尚早な提案,論理的な整理をさせる前に心の迷いを聞くのが先です。,私の周りでも内定ブルーになる学生はとても多いですよ。,-5,余計な話,単に不安を一般化して片付ける発言です。
15,30代女性・夫の転勤,夫の突然の海外赴任が決まった。同行したいが、自分のキャリアが途絶えるのが嫌。,夫に同行したい気持ちと、キャリアを維持したい思いの間で葛藤しているのね。,5,適切,家庭とキャリアという重要な二者択一の悩みに共感しています。,現地でリモートワークができるか会社に交渉してください。,-5,時期尚早な提案,具体的な交渉の前に人生の優先順位を整理します。,大変ですね、ついていくしかないのではないでしょうか。,-5,不適切な相槌,クライアントの主体的なキャリア選択を放棄させる発言です。,私の夫が海外赴任した時は、私は日本に残って仕事を続けましたよ。,-5,余計な話,特定の個人的ライフスタイルを押し付ける余計な話です。
16,30代男性・職場の人間関係,上司と意見が合わず、何を話しても否定されるので、会社に行くのが苦痛です。,上司の方との関係でストレスを感じ、出社が辛いお気持ちなのですね。,5,適切,上司との不和による精神的な苦痛を受け止めています。,人事部やさらに上の上司に相談するべきです。,-5,時期尚早な提案,関係構築・事実整理の前にエスカレーションを急がせる提案です。,上司の方にも何か考えがあるんじゃないですか？,-5,不適切な相槌,上司を擁護し、クライアントの被害感情を無視した相槌です。,私も昔、理不尽な上司にあたって胃潰瘍になったことがありますよ。,-5,余計な話,余計な自身の昔話と病気アピールです。
17,30代女性・キャリア迷子,30才になり、今の仕事のままで将来スキルが身についていくのか漠然と不安。,30代を迎えて、今後の専門性やキャリアへの見通しが立たず不安なのですね。,5,適切,長期的なキャリアプランに対する静かな危機感をすくい取っています。,どのような専門スキルを身につけたいと考えているのですか？,-5,時期尚早な提案,具体的な目標への詰問に近く、まだ気持ちが定まらない段階では早すぎます。,そうなんですね。何か資格でも取ったらどうですか？,-5,不適切な相槌,漠然とした不安を資格取得だけで片付けようとしています。,私のころの30代はもっとがむしゃらに働いていて悩む暇なんてなかったですよ。,-5,余計な話,世代間ギャップを押し付けるような余計な説教です。
18,40代男性・早期退職応募,会社で早期希望退職の募集が始まった。割増金はあるが、その後再就職できるか。,条件の良さに惹かれる一方で、本当にやりたい仕事が分からないという焦りが見え隠れしますね。,5,気付きの促進,目先の条件とキャリアビジョンの欠如という、相談者が無意識に抱える課題への気付きを促しています。,すぐに転職エージェントに登録して自分の市場価値を確認しましょう。,-5,時期尚早な提案,決断を下す前にアクションを急かしており時期尚早です。,退職金が多いなら、やめちゃった方が得ですよ。,-5,不適切な相槌,金銭面だけで判断させようとする軽率な相槌です。,私の同僚も早期退職に応募して、今はアルバイトで食いつないでいます。,-5,余計な話,他人の否定的な結果を共有して不安をあおる余計な話です。
19,20代女性・派遣社員,派遣から直接雇用を打診されましたが、責任が重くなると思うと引き受けられません。,直接雇用は嬉しい半面、責任へのプレッシャーで迷われているのですね。,5,適切,嬉しさと不安が混ざり合ったクライアントの心理を映しています。,仕事を細かく分担してもらうように契約を変更しましょう。,-5,時期尚早な提案,条件・契約の話の前に「どんな責任が怖いか」を深掘りすべきです。,派遣のままだと将来不安定ですよ。受けるべきです。,-5,不適切な相槌,強制的に選択を押し付ける不適切な受け答えです。,私も昔、派遣から正社員になったときはプレッシャーで眠れませんでした。,-5,余計な話,カウンセラー本人の不安体験の押し付けです。
20,40代女性・仕事復職,10年間のブランクがあり、パソコンのスキルもないので復職できるか心配。,ブランク期間の長さと、現在のITスキルへの不足感が不安なのですね。,5,適切,不安要素（期間とスキル）を論理的に受け止めています。,まずは市民パソコン教室などに通って基本を学びましょう。,-5,時期尚早な提案,具体的な解決策をすぐ提示し、感情の受容が抜けています。,10年もあると変わりますからね。まあ頑張ってください。,-5,不適切な相槌,難しさを指摘しただけで、寄り添う姿勢がない冷淡な相槌です。,私の知り合いも10年ブランクから事務職でバリバリ復職した人がいますよ。,-5,余計な話,個人的な知人の成功体験を持ち出すのは余計です。
21,30代男性・転職・後悔,大手からベンチャーへ転職したが、業務が雑然として前職に留まれば良かったと後悔している。,転職先の環境の違いに戸惑い、自身の選択への後悔を感じておられるのですね。,5,適切,決断の後悔と現実のギャップへの動揺に寄り添っています。,すぐに元の会社に戻るか、再度の転職活動を始めるのが賢明です。,-5,時期尚早な提案,焦って動く前に「何の業務で悩んでいるのか」の整理が必要です。,そうですか、ベンチャーだから仕方ありませんよ。,-5,不適切な相槌,「仕方ない」と一言で切り捨て、来談者の主体性を認めません。,私もかつて転職して失敗したことがあり、心が痛むのもわかりますよ。,-5,余計な話,カウンセラー自身の失敗談の共感アピールは不要です。
22,30代女性・夫の転職,夫が短期間で何度も転職を繰り返しており、家計や将来が不安定で本当に不安。,旦那様の転職の多さから、将来の安定について強い不安を感じているのですね。,5,適切,家族全体の課題と本人の生活不安を適切に受容しています。,旦那様をキャリア相談に連れてきてください。,-5,時期尚早な提案,他人の状況をコントロールするような方法を一方的に提案しています。,大変ですね、男の人は定職に就いてほしいですよね。,-5,不適切な相槌,無責任に愚痴に同調するだけで、キャリア形成支援になりません。,私の周りにも紹介予定のまともな仕事があるので教えましょうか？,-5,余計な話,個人的な権限にない私的紹介などの余計な世間話です。
23,50代女性・セカンドライフ,子供も独立したのでこれからは社会貢献をしたいが、自分に何ができるかわからない。,育児を終え、新たな目的を見つけたい一方で、自身の可能性に迷われているのね。,5,適切,子供の自立という転機と、社会貢献への前向きな迷いに共感しています。,まずは地元のボランティアセンターに登録してください。,-5,時期尚早な提案,興味範囲が定まる前に、特定の行動を促すのは早すぎます。,そうなんですね、素晴らしい心がけだと思います。,-5,不適切な相槌,単に相手を褒めるだけで、相談としての深まりを阻害します。,私の友人も定年後に子供食堂を始めて、とても充実していると言っていました。,-5,余計な話,第三者のモデルケースを安易に持ってきて話すのは無用です。
24,40代男性・IT追従,職場のデジタル化が進み、新しいITツールの操作についていけず焦りがある。,ツールの変化スピードが速く、自身のスキル習得が間に合わず焦っているのですね。,5,適切,IT化への適応の難しさとそれに伴う心理焦燥感を受け止めています。,若い部下に積極的にツールの使い方を教えてもらいましょう。,-5,時期尚早な提案,プライドや関係性の整理をする前に指示的な解決策を促しています。,まあ、慣れれば誰でもできるようになりますよ。,-5,不適切な相槌,個人の焦燥感を「誰でもできる」と過小評価する良くない相槌です。,私も新しいスマートフォンの設定に何日もかかって苦労しているんですよ。,-5,余計な話,関係のない私用携帯の世間話にすり替えています。
25,40代女性・職場の変化,会社の事業縮小で担当業務が縮小され、自分の必要性が失われたように感じる。,担当業務の変化から、自身の存在価値を見出せず苦しんでいらっしゃるのですね。,5,適切,仕事内容の変更と自己価値の喪失感という本質的悩みに共感しています。,すぐに他のやりがいのある企業へ転職するための準備を進めましょう。,-5,時期尚早な提案,会社内での可能性や役割調整を考慮する余地がある段階で転職は時期尚早です。,そうですか、そういう時期もありますよね。,-5,不適切な相槌,人事のような冷めた視点で、問題の重要性を無視した相槌です。,私のいた前職でも突然部署がなくなり、同僚が何人もリストラされました。,-5,余計な話,他社の暗いニュースを語り出して不安をあおる余計な話題です。
26,20代男性・主体性,言われた仕事はこなしているつもりだが、主体性がないと上司から評価され不満。,指示通り働いている一方で、上司の求める『主体性』が何かわからず悩まれているのね。,5,適切,自身の行動への自信と、上司とのギャップに対する不満を整理しています。,上司に『主体性とは何か』直接質問してみてください。,-5,時期尚早な提案,関係が拗れている状態で直接的に聞くのは抵抗感が強く時期尚早です。,主体性は大事ですからね。指示待ち人間になっていませんか？,-5,不適切な相槌,上司と同調してクライアントを責める姿勢であり、防衛的な態度を生みます。,私も若いころは『気が利かない』とよく叱られて、能動的に動く工夫をしましたよ。,-5,余計な話,カウンセラー自身の能動的エピソードアピールは不要です。
27,20代女性・起業迷い,いつか自分の料理店を持ちたいが、失敗した時の借金を考えると踏み切れない。,自分の夢を実現したい情熱と、金銭的なリスクに対する現実的な恐怖があるのね。,5,適切,夢への意欲と現実のリスクマネジメントの間での葛藤を表しています。,融資制度や自己資金の計画書を作成してみましょう。,-5,時期尚早な提案,気持ちの方向性が定まらない中で具体的な資金計画は急ぎすぎです。,そうですね、起業なんてリスクしかないからやめた方が良いですよ。,-5,不適切な相槌,個人の志望を頭ごなしに否定するような極めて不適切な相槌です。,私の知人はカフェを開いて大失敗し、多額の負債を抱えて大変なことになりました。,-5,余計な話,周囲の最悪な失敗例を聞かせるのは、本人の恐怖心を煽るだけで余計な話です。
28,30代男性・復職悩み,適応障害で休職後、復職したが周囲の気を遣われている態度に居心地が悪い。,復職できたものの、周囲の対応に対して過敏になり、やりづらさを感じているのですね。,5,適切,復帰後の人間関係における複雑な心理状態を受容しています。,産業医や人事担当者へ至急面談を申し入れて異動を願い出ましょう。,-5,時期尚早な提案,本人が業務に適応しようとしている段階で突飛な配置転換を勧めるのは拙速です。,なるほど。とりあえず働き続けられて良かったですね。,-5,不適切な相槌,休職明けのデリケートな関係性の葛藤を無視した他人事の相槌です。,私もメンタルで休んだことがありますが、半年くらい経てば慣れますよ。,-5,余計な話,不要で主観的な自身の療養アドバイスです。
29,30代女性・本音,社内のキャリア面談があるが、やりたい仕事や会社の愚痴を正直に話していいか疑問。,面談で自分の本音を話すことによる不利益や信頼性に疑問があるのですね。,5,適切,制度への不安と自分をどう守るかという葛藤を受け止めています。,面談では波風の立たない無難な回答を用意しておきましょう。,-5,時期尚早な提案,カウンセラー自身が会社の隠蔽行為を助長するような不適切な対策提案です。,そうですか、悩むだけ無駄ではないですか？,-5,不適切な相槌,面談制度自体を無駄と切り捨て、相談を拒否する相槌です。,私の時の人事担当者はみんな口が軽くて、面談内容が筒抜けでしたよ。,-5,余計な話,相談者の企業に対する悪印象を誇張する無関係な噂話です。
30,40代男性・テレワーク,テレワーク中心になり通勤は楽だが、同僚との雑談がなくなり会社に属している実感が薄い。,在宅勤務の利便性を享受しつつも、所属欲求や対話不足による孤独感があるのですね。,5,適切,利便性の裏にあるメンタルな孤立状態と言語化できない寂しさを汲み取っています。,オンラインのお茶会やチャットでの発信をもっと増やしましょう。,-5,時期尚早な提案,本人の対人関係のスタイルを聞く前に具体的なコミュニケーションチャネルを指示するのはNGです。,へえ、テレワークは羨ましい限りですけどね。,-5,不適切な相槌,他人の境遇に対する個人的な羨望を出し、当事者の悩みを軽視する発言です。,私も一日中家で画面を見ていると、誰とも話さずにおかしくなりそうになりますよ。,-5,余計な話,カウンセラー自身のストレス解消話を並べ立てる余計な反応です。
31,30代女性・管理職打診,管理職の打診を受けたが、責任を負うのが怖く、現状のプレイヤーのままでいたい。,管理職としての責任に負担感があり、今の仕事を続けたいお気持ちなのですね。,5,適切,キャリアアップの打診への躊躇と現在のプレイヤーとしての自信を把握しています。,管理職になると給与が上がるので一度受けてみてはいかがでしょうか？,-5,時期尚早な提案,価値観の確認を行わずに経済面だけのメリットで決定を促す提案です。,最近の女性は管理職を嫌がる人が多いですね。,-5,不適切な相槌,ジェンダーバイアスやステレオタイプに基づいた、不適切な評価的相槌です。,私の会社でも無理やり管理職にされた女性が結局うつで辞めてしまいました。,-5,余計な話,無用な不安事例を提供し動揺させるだけの余計な情報提供です。
32,40代男性・転職反対,転職したいが妻に猛反対され、「今のままの安定した会社にいて」と怒られた。,新しい挑戦をしたい情熱と、奥様の生活安定の要求の間で板挟みになっているのね。,5,適切,家族との見解の相違・説得の苦労について深く受け止めています。,奥様を無視して、自分の意思で強行して転職を決めましょう。,-5,時期尚早な提案,家庭内の破綻を招くような暴論的な提案であり、極めて不適切です。,まあ、やはり奥さんの言う通りにするのが一番平和ですよ。,-5,不適切な相槌,クライアント自身の動機や希望を容易に諦めさせるようなおざなりな相槌です。,私のうちでも家計の決定権は妻にあるので、逆らわずにすべて従っています。,-5,余計な話,不要な身内のカカア天下エピソードの披露です。
33,20代女性・評価ギャップ,評価は高いが、自分では何のスキルもないのにだましているようで罪悪感がある。,周囲からの好意的評価と、自分の自己評価の低さの間でギャップに苦しんでいるのね。,5,適切,いわゆるインポスター症候群のような自己認識のずれと苦しみを受容しています。,評価されているのは事実なのだから、自信を持ってください。,-5,不適切な相槌,相手の自信のなさを単に精神論で否定し、自己分析を支援しません。,客観的に自分の強みを他の人と数値で比較してみましょう。,-5,時期尚早な提案,本人の不安感を解消しないまま比較分析をするのは追い詰める結果になります。,私なんかは何もしてなくてもドヤ顔で仕事してますけどね。,-5,余計な話,聞いていないカウンセラー自身のず太い自己アピールです。
34,30代男性・昇進追い抜き,後輩が先に昇任した。祝福したいが悔しさと焦りで目の前の仕事に集中できない。,後輩に対する複雑な感情と、自分自身のキャリア停滞への焦りがあるのですね。,5,適切,祝福の理性と嫉妬の感情が交錯するデリケートな心理を受容しています。,上司に『なぜ自分が昇進しなかったのか』理由を確かめましょう。,-5,時期尚早な提案,感情が混沌としている状態で人事の根拠を聞いても逆効果です。,あぁ、後輩に抜かれるのはきついですね。,-5,不適切な相槌,同情のようでいて、傷口に塩を塗り、モチベーションを下げる相槌です。,私の同期も全員が私より早く事業部長に昇格して、みじめな思いをしました。,-5,余計な話,自虐を交えた自身の昔話で、相談者を慰めるフリをする余計な話です。
35,30代女性・派遣切り,派遣契約が満了。次の仕事を探しているが年齢を考えると焦りばかり募る。,契約終了に伴い、今後の雇用への焦りと不安でいっぱいなのですね。,5,適切,雇用の断絶への不安と年齢的なハードルに対するリアルな焦りに共感しています。,すぐに派遣会社を10社以上掛け持ち登録しましょう。,-5,時期尚早な提案,手段ばかりを提示し、何の職種を望んでいるかのヒアリングをしておらず拙速です。,そうですか。まあ次の仕事はすぐ見つかりますよ。,-5,不適切な相槌,当事者の焦りに対して「すぐ見つかる」と根拠のない安易な保証をするNG相槌です。,私の登録しているクラウドワークスなんかは内職ですぐ稼げてお勧めですよ。,-5,余計な話,相談の枠外である個人のクラウドソーシングの紹介など余計な雑談です。
36,50代男性・キャリアチェンジ,会社の看板を外したとき、自分には何もアピールできるものがないことに気付いた。,これまでの会社の枠内から外れるにあたり、自身のアイデンティティや強みに悩んでいるのね。,5,適切,地位や肩書きと自己のスキルの切り離しにおける喪失感、自己理解の再構築に寄り添います。,ご自身が作成した過去の業務実績シートを出してください。,-5,時期尚早な提案,クライアントが自信を喪失している段階で、急に具体的棚卸し課題を課すのは不適切です。,なるほど。まあ大企業の役員でも外に出ればただの人ですからね。,-5,不適切な相槌,事実を突きつけてさらに突き落とすような、心ない不適切な応答です。,私も昔大企業から飛び出して自分の名前で仕事するまで、何年もかかりました。,-5,余計な話,カウンセラー自身の独立武勇伝の披露です。
37,20代女性・家族経営,親の会社で働いているが、古い経営体質に口を出すと家族喧嘩になりやりづらい。,仕事上の経営改善への意思と、家族としての関係性の対立に苦慮されているのね。,5,適切,親子特有の距離の近さと経営方針の対立の難しさを受け止めています。,親戚や外部の取締役に入ってもらい会議を開きましょう。,-5,時期尚早な提案,家族関係の事情や規模を把握する前に、第三者介入を指示するのは過大です。,あはは、身内同士の仕事は喧嘩が絶えないとよく言いますね。,-5,不適切な相槌,問題を単なる家族喧嘩とみなして笑い飛ばし、解決意欲を削ぐ相槌です。,私の叔父も父親の会社に入って、最後には絶縁するまで喧嘩しましたよ。,-5,余計な話,他人の不幸な絶縁話を共有して恐怖心を持たせるだけの不要な発言です。
38,30代男性・独立・資格,行政書士の資格を取り、登録して独立したいが顧客開拓ができそうにない。,資格を取得して開業したい希望と、実務である営業への不安の狭間で迷っているのね。,5,適切,資格を活かしたい動機と対人関係開拓への不安要素を整理しています。,まずは地元の士業のコミュニティに参加してみましょう。,-5,時期尚早な提案,顧客開拓が不慣れな段階で突然知りあうアプローチをとらせるのは非現実的です。,まあ、行政書士だけじゃ食っていけないのが現実ですよね。,-5,不適切な相槌,業界の厳しさをいきなり否定的に突き放し、意志をくじく無益な相槌です。,私のいとこは行政書士ですが、他業種と連携してうまく売上をあげていますよ。,-5,余計な話,いとこの稼ぎの秘密などの無関係なストーリーの紹介です。
39,30代男性・ワークライフ,仕事が多忙で帰宅が深夜になり、家族サービスが全くできず妻に愛想を尽かされそう。,過酷な勤務状況により、家庭の維持が危機に瀕していることに強い不安を感じているのですね。,5,適切,労働時間問題から二次的に発生した家族問題の深刻さに共感しています。,転職をして残業時間が少ないホワイトな職場へ行きましょう。,-5,時期尚早な提案,今の仕事への愛着やこだわりなどを確認せずに即座に転職させるのは時期尚早です。,そうですか、それは仕事を頑張りすぎですよ。,-5,不適切な相槌,本人の不可抗力かもしれない多忙な現状に対して「頑張りすぎ」と決めつける応答です。,私のところも昔は同じでしたが、家事代行などを活用して何とかなりましたよ。,-5,余計な話,個別の家庭的な対処法を無責任に紹介するのは余計です。
40,40代男性・家族の看病,突然妻が倒れ実家の看病が必要に。出張の多い現部署のままで両立できるか。,ご家族の介護の発生と、現在のご自身の出張業務との両立に限界の不安があるのですね。,5,適切,予測不可能な家族の病気とキャリア継続のジレンマをしっかりと傾聴しています。,すぐに今の仕事を周囲に割り振って、長期休暇を取得しましょう。,-5,時期尚早な提案,就業規則や同僚の関係等を勘案する前に一方的な休暇を強要する行為は不謹慎です。,大変ですねえ。出張をやめるわけにはいかないでしょう。,-5,不適切な相槌,二者択一で「出張をやめられない」と決めつけ、本人の可能性を閉ざす相槌です。,私の同僚も家族の病気が理由で結局昇進コースから外れていきましたよ。,-5,余計な話,他人のネガティブなキャリアの離脱話を出すのは余計です。
41,50代男性・リタイア,定年後の生活について、趣味もなく時間を持て余すのではないかと不安が強い。,仕事を退いた後の時間の使い方や、ご自身の役割について戸惑いがあるのですね。,5,適切,仕事が中心だった生活から退くことへの未来への漠然とした不安を捉えています。,何か資格を取得して独立に向けて勉強を始めましょう。,-5,時期尚早な提案,行動を急がせるより、どのような定年後が理想か内省を引き出します。,そうですか、暇を持て余すのは誰でも嫌ですよね。,-5,不適切な相槌,悩みを過小評価し当たり障りのない相槌で終わらせています。,私の父も定年後は一日中テレビを見ていて家族から疎まれていましたよ。,-5,余計な話,家族内の不満エピソードを語るのは不要です。
42,30代男性・離職マネジメント,エース級の部下が突然転職を考えていると言い出した。自分のマネジメントの甘さを悔やむ。,優秀な部下の離職の危機に直面し、ご自身の指導や関わり方を深く悔やまれているのですね。,5,適切,自分の管理責任や後悔という視点に寄り添い関係性を分析しています。,部下を引き留めるため、昇給や部署変更の交渉を人事長に頼みましょう。,-5,時期尚早な提案,背後にある部下の本当の退職理由を聞くのが優先です。,あぁ、最近の若手はすぐ辞めるので困りますね。,-5,不適切な相槌,部下を一括りにして批判し、カウンセラーの責任を放棄した相槌です。,私のいた部署でも一番仕事ができる後輩が突然やめて、業務が崩壊しましたよ。,-5,余計な話,他の離職事例の被害エピソードの紹介で余計です。
43,20代女性・面接迷子,模擬面接の本などを読みすぎて、どう答えるのが正解かわからなくなり本音が出せない。,正解を探し求めるあまり、ご自身の本来の思いや言葉が見えなくなっているのね。,5,適切,外面のスキル対策と内面の本音のギャップの混乱を汲み取っています。,本などに頼らず、全て自分の言葉で素直に話せばいいんですよ。,-5,不適切な相槌,精神論のアドバイスになり、相談者の混乱をただ打ち消しています。,まずは自己分析を完全に一から見直す必要がありますね。,-5,時期尚早な提案,分析のやり直しは本人の混乱をさらに深めかねません。,私もかつてマニュアル通りに回答して面接を全落ちした痛い経験があります。,-5,余計な話,カウンセラー自身の面接苦労話のアピールは不要です。
